TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
DATASETAUXDATA Common.DensityVar="7"
DATASETAUXDATA Common.PressureVar="15"
DATASETAUXDATA Common.TemperatureVar="17"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="12"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="10"
DATASETAUXDATA Common.UVar="18"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="11"
DATASETAUXDATA Common.VVar="19"
DATASETAUXDATA Common.WVar="20"
ZONE T="Slice: Y=-1.48"
 STRANDID=7, SOLUTIONTIME=0
 I=223, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(DOUBLE DOUBLE DOUBLE )
 2.539488920E+00 2.537840056E+00 2.536119338E+00 2.534402100E+00 2.532676862E+00
 2.530950816E+00 2.529226401E+00 2.527502732E+00 2.525773750E+00 2.524045487E+00
 2.522318042E+00 2.521809178E+00 2.520604533E+00 2.518901075E+00 2.517187445E+00
 2.515473960E+00 2.513757641E+00 2.512042153E+00 2.510336256E+00 2.508629984E+00
 2.506928039E+00 2.505216178E+00 2.503496960E+00 2.501780267E+00 2.500065726E+00
 2.498349364E+00 2.496634636E+00 2.494921250E+00 2.493209613E+00 2.491477825E+00
 2.489741442E+00 2.488016223E+00 2.486296220E+00 2.484572761E+00 2.482838752E+00
 2.481104740E+00 2.479371634E+00 2.477635556E+00 2.475896464E+00 2.474155395E+00
 2.472415412E+00 2.470676029E+00 2.468936150E+00 2.467190659E+00 2.465418062E+00
 2.463642358E+00 2.461878849E+00 2.460117421E+00 2.458349920E+00 2.456578956E+00
 2.454799533E+00 2.453007475E+00 2.451214949E+00 2.449420163E+00 2.447627954E+00
 2.445829458E+00 2.444018834E+00 2.442196989E+00 2.440365057E+00 2.438531200E+00
 2.436683723E+00 2.434835916E+00 2.432974724E+00 2.431110979E+00 2.429237082E+00
 2.427352983E+00 2.425461603E+00 2.423553260E+00 2.421637160E+00 2.419707839E+00
 2.417769982E+00 2.415823781E+00 2.413862784E+00 2.411880458E+00 2.409888100E+00
 2.407886951E+00 2.406724506E+00 2.405895647E+00 2.403918405E+00 2.401921045E+00
 2.399926438E+00 2.397921299E+00 2.397364602E+00 2.396811826E+00 2.396260047E+00
 2.395705726E+00 2.395150744E+00 2.394599044E+00 2.394053369E+00 2.393515634E+00
 2.392989480E+00 2.392479059E+00 2.391988689E+00 2.391532989E+00 2.391136506E+00
 2.390800005E+00 2.390550620E+00 2.390463314E+00 2.390477037E+00 2.390571654E+00
 2.390799729E+00 2.391170019E+00 2.391618421E+00 2.392120050E+00 2.392683928E+00
 2.393283123E+00 2.393869978E+00 2.394457459E+00 2.395083211E+00 2.395754271E+00
 2.396452136E+00 2.397156614E+00 2.397859968E+00 2.399415178E+00 2.400981112E+00
 2.402594609E+00 2.404231251E+00 2.405888403E+00 2.407569003E+00 2.409253638E+00
 2.410959844E+00 2.412677023E+00 2.414402572E+00 2.416143645E+00 2.417885838E+00
 2.419640258E+00 2.421400519E+00 2.423167827E+00 2.424941002E+00 2.426713459E+00
 2.428496960E+00 2.430280230E+00 2.432068847E+00 2.433861302E+00 2.435655226E+00
 2.437449498E+00 2.439242386E+00 2.441042158E+00 2.442845206E+00 2.444650290E+00
 2.446465533E+00 2.448287516E+00 2.450108880E+00 2.451934385E+00 2.453764414E+00
 2.455589554E+00 2.457420987E+00 2.459251062E+00 2.461079699E+00 2.462912000E+00
 2.464743738E+00 2.466580223E+00 2.468410798E+00 2.470244275E+00 2.472077143E+00
 2.473903383E+00 2.475733386E+00 2.477557016E+00 2.479381085E+00 2.481199266E+00
 2.483012915E+00 2.484826020E+00 2.486633844E+00 2.488441339E+00 2.490244531E+00
